run	 5005
band	 E_min (MeV)	 E_max (MeV)	 rm_X (evt/s)	 sigma_X	 rm_Z (evt/s)	 sigma_Z
1	       0.17	       0.35	      4.985	      0.030	      5.584	      0.031
2	       0.35	       0.70	    123.182	      0.147	    122.871	      0.147
3	       0.70	       1.40	     86.635	      0.124	     86.499	      0.124
4	       1.40	       2.80	     22.530	      0.063	     19.781	      0.059
5	       2.80	       5.60	      3.557	      0.025	      3.404	      0.025
6	       5.60	      11.20	     13.112	      0.048	     12.188	      0.046
7	      11.20	      22.40	      6.792	      0.035	      5.215	      0.030
8	      22.40	      44.80	      1.296	      0.015	      0.973	      0.013
9	      44.80	      89.60	      0.231	      0.006	      0.205	      0.006
10	      89.60	    1433.60	      0.054	      0.003	      0.057	      0.003
