run	 5012
rate	 527.16
plane	 bar	 rate (evt/s)	 sigma
X	      1		 20.1	 4.5
X	      2		 18.2	 4.2
X	      3		 16.0	 4.0
X	      4		 20.5	 4.6
X	      5		 19.7	 4.4
X	      6		 18.7	 4.3
X	      7		 19.8	 4.5
X	      8		 18.5	 4.3
X	      9		 18.0	 4.1
X	     10		 21.4	 4.8
X	     11		 18.5	 4.4
X	     12		 18.0	 4.3
X	     13		 17.2	 4.2
X	     14		 20.7	 4.4
X	     15		 21.7	 4.8
Z	      1		 25.3	 4.9
Z	      2		 24.7	 5.0
Z	      3		 19.8	 4.5
Z	      4		 19.6	 4.3
Z	      5		 19.6	 4.5
Z	      6		 25.3	 4.9
Z	      7		 18.3	 4.2
Z	      8		 20.0	 4.4
Z	      9		 15.6	 3.9
Z	     10		 18.0	 4.2
Z	     11		 19.6	 4.3
Z	     12		 15.1	 4.0
Z	     13		 19.5	 4.4
Z	     14		 22.0	 4.7
Z	     15		 23.6	 4.9
