run 	10574
plane 	bar 	PD 	C1 (ch)	sigma1 	C2 (ch)	sigma2
X 	1 	A 	1979.6 	  1.50 	3677.2 	  1.51
X 	2 	A 	2049.7 	  1.52 	3801.2 	  1.56
X 	3 	A 	2035.6 	  1.55 	3804.1 	  1.68
X 	4 	A 	1970.5 	  1.60 	3664.4 	  1.59
X 	5 	A 	1996.4 	  1.47 	3730.3 	  1.61
X 	6 	A 	2004.9 	  1.41 	3732.8 	  1.53
X 	7 	A 	1961.3 	  1.55 	3637.5 	  1.46
X 	8 	A 	1999.4 	  1.68 	3720.1 	  1.61
X 	9 	A 	2012.9 	  1.52 	3747.4 	  1.62
X 	10 	A 	1935.9 	  1.56 	3601.8 	  1.49
X 	11 	A 	1959.9 	  1.55 	3664.6 	  1.72
X 	12 	A 	1914.8 	  1.69 	3555.0 	  1.60
X 	13 	A 	1911.5 	  1.68 	3568.7 	  1.52
X 	14 	A 	1992.0 	  1.62 	3700.3 	  1.49
X 	15 	A 	2014.7 	  1.53 	3761.0 	  1.62
Z 	1 	A 	1885.7 	  1.71 	3522.7 	  1.60
Z 	2 	A 	1996.6 	  1.62 	3693.4 	  1.69
Z 	3 	A 	1885.9 	  1.61 	3530.0 	  1.74
Z 	4 	A 	2000.4 	  1.65 	3717.6 	  1.67
Z 	5 	A 	1902.0 	  1.67 	3568.4 	  1.65
Z 	6 	A 	2034.2 	  1.57 	3790.1 	  1.61
Z 	7 	A 	2034.3 	  1.59 	3783.5 	  1.61
Z 	8 	A 	1943.6 	  1.50 	3585.2 	  1.61
Z 	9 	A 	1921.2 	  1.54 	3586.5 	  1.49
Z 	10 	A 	1938.3 	  1.51 	3618.1 	  1.55
Z 	11 	A 	1999.2 	  1.57 	3700.2 	  1.47
Z 	12 	A 	2003.4 	  1.43 	3712.8 	  1.64
Z 	13 	A 	2011.4 	  1.59 	3729.5 	  1.56
Z 	14 	A 	2026.2 	  1.45 	3781.1 	  1.55
Z 	15 	A 	2114.7 	  1.61 	3915.5 	  1.63
X 	1 	B 	2023.0 	  1.54 	3806.5 	  1.68
X 	2 	B 	1989.4 	  1.50 	3734.0 	  1.52
X 	3 	B 	2011.5 	  1.50 	3725.3 	  1.60
X 	4 	B 	2059.1 	  1.48 	3813.2 	  1.58
X 	5 	B 	2022.4 	  1.46 	3735.3 	  1.58
X 	6 	B 	2014.6 	  1.61 	3774.2 	  1.52
X 	7 	B 	2033.2 	  1.54 	3775.4 	  1.64
X 	8 	B 	2026.4 	  1.63 	3769.1 	  1.60
X 	9 	B 	1943.9 	  1.58 	3600.0 	  1.57
X 	10 	B 	2029.8 	  1.51 	3772.7 	  1.54
X 	11 	B 	1993.9 	  1.60 	3738.5 	  1.64
X 	12 	B 	1949.8 	  1.47 	3635.4 	  1.60
X 	13 	B 	2111.1 	  1.59 	3922.8 	  1.59
X 	14 	B 	2053.9 	  1.56 	3859.4 	  1.59
X 	15 	B 	2086.0 	  1.62 	3893.8 	  1.59
Z 	1 	B 	2070.0 	  1.50 	3862.5 	  1.52
Z 	2 	B 	2005.6 	  1.62 	3734.4 	  1.60
Z 	3 	B 	2045.3 	  1.66 	3801.8 	  1.57
Z 	4 	B 	1994.6 	  1.67 	3738.8 	  1.69
Z 	5 	B 	2004.0 	  1.70 	3734.3 	  1.55
Z 	6 	B 	2039.4 	  1.48 	3815.2 	  1.53
Z 	7 	B 	2008.2 	  1.50 	3737.6 	  1.67
Z 	8 	B 	2054.5 	  1.45 	3839.5 	  1.51
Z 	9 	B 	2063.6 	  1.47 	3873.9 	  1.63
Z 	10 	B 	1992.8 	  1.57 	3719.3 	  1.63
Z 	11 	B 	1954.4 	  1.47 	3636.4 	  1.42
Z 	12 	B 	2001.9 	  1.47 	3728.6 	  1.55
Z 	13 	B 	2016.8 	  1.63 	3738.5 	  1.70
Z 	14 	B 	2080.6 	  1.50 	3876.7 	  1.48
Z 	15 	B 	1936.0 	  1.40 	3621.4 	  1.53
