run	5885
plane 	bar 	PD 	C1 (ch)	sigma1 	C2 (ch)	sigma2
X 	1 	A 	 365.0 	  2.03 	 439.0 	  1.95
X 	2 	A 	 382.9 	  2.63 	 459.6 	  2.80
X 	3 	A 	 354.7 	  2.68 	 430.8 	  2.89
X 	4 	A 	 358.7 	  2.21 	 432.3 	  2.55
X 	5 	A 	 347.3 	  2.40 	 422.6 	  2.64
X 	6 	A 	 360.6 	  2.52 	 435.3 	  2.60
X 	7 	A 	 370.0 	  2.25 	 442.9 	  2.63
X 	8 	A 	 361.0 	  2.24 	 436.1 	  2.73
X 	9 	A 	 363.2 	  2.35 	 439.1 	  2.70
X 	10 	A 	 357.1 	  2.07 	 429.8 	  2.24
X 	11 	A 	 339.1 	  2.24 	 413.5 	  2.35
X 	12 	A 	 354.0 	  2.24 	 425.5 	  2.31
X 	13 	A 	 335.2 	  2.07 	 407.3 	  2.27
X 	14 	A 	 367.4 	  2.25 	 441.7 	  2.40
X 	15 	A 	 353.4 	  2.51 	 430.0 	  2.47
Z 	1 	A 	 328.4 	  3.08 	 400.2 	  3.07
Z 	2 	A 	 386.1 	  3.35 	 458.6 	  3.66
Z 	3 	A 	 330.2 	  3.50 	 399.9 	  3.38
Z 	4 	A 	 373.7 	  3.35 	 446.5 	  3.81
Z 	5 	A 	 323.9 	  3.62 	 395.3 	  3.69
Z 	6 	A 	 366.9 	  3.45 	 442.2 	  3.95
Z 	7 	A 	 373.6 	  3.23 	 449.6 	  3.67
Z 	8 	A 	 386.7 	  3.62 	 456.6 	  3.61
Z 	9 	A 	 357.5 	  2.95 	 426.7 	  3.14
Z 	10 	A 	 343.5 	  3.21 	 415.0 	  3.61
Z 	11 	A 	 381.1 	  3.11 	 454.6 	  3.25
Z 	12 	A 	 381.4 	  2.91 	 455.3 	  3.14
Z 	13 	A 	 382.0 	  2.92 	 455.0 	  3.19
Z 	14 	A 	 357.3 	  3.37 	 432.8 	  3.47
Z 	15 	A 	 401.6 	  3.64 	 479.2 	  3.92
X 	1 	B 	 325.5 	  1.68 	 403.1 	  1.86
X 	2 	B 	 329.7 	  1.53 	 406.2 	  1.62
X 	3 	B 	 384.1 	  1.45 	 459.2 	  1.67
X 	4 	B 	 390.1 	  1.38 	 466.5 	  1.72
X 	5 	B 	 396.0 	  1.64 	 470.6 	  1.85
X 	6 	B 	 340.6 	  1.49 	 418.1 	  1.58
X 	7 	B 	 378.6 	  1.68 	 453.8 	  1.85
X 	8 	B 	 369.4 	  1.47 	 444.7 	  1.81
X 	9 	B 	 371.2 	  1.39 	 443.0 	  1.60
X 	10 	B 	 373.0 	  1.66 	 449.3 	  1.70
X 	11 	B 	 336.7 	  1.48 	 412.5 	  1.75
X 	12 	B 	 345.0 	  1.48 	 419.2 	  1.62
X 	13 	B 	 385.5 	  1.52 	 464.0 	  1.71
X 	14 	B 	 336.4 	  1.36 	 415.0 	  1.76
X 	15 	B 	 366.7 	  1.48 	 446.1 	  1.76
Z 	1 	B 	 366.8 	  1.53 	 443.9 	  1.78
Z 	2 	B 	 366.8 	  2.09 	 440.3 	  2.37
Z 	3 	B 	 381.1 	  2.02 	 456.0 	  2.17
Z 	4 	B 	 341.4 	  2.12 	 414.9 	  2.09
Z 	5 	B 	 365.1 	  1.84 	 438.9 	  2.09
Z 	6 	B 	 353.1 	  2.18 	 429.5 	  1.90
Z 	7 	B 	 366.1 	  1.96 	 440.3 	  1.77
Z 	8 	B 	 360.4 	  1.86 	 437.6 	  1.87
Z 	9 	B 	 361.0 	  1.68 	 438.3 	  1.84
Z 	10 	B 	 350.6 	  1.76 	 425.5 	  1.87
Z 	11 	B 	 356.7 	  1.89 	 429.1 	  1.63
Z 	12 	B 	 363.6 	  1.64 	 438.0 	  1.76
Z 	13 	B 	 380.5 	  1.55 	 454.9 	  1.51
Z 	14 	B 	 368.9 	  1.84 	 446.1 	  2.01
Z 	15 	B 	 336.3 	  2.24 	 408.6 	  2.20
