run 	10565
bar     muon MPV (MeV)  sigma (MeV)     frequency (evt/s)
X1 	  8.73 		  0.99 		 0.093 		
X2 	  9.38 		  1.14 		 0.132 		
X3 	  9.96 		  1.18 		 0.151 		
X4 	  9.26 		  1.08 		 0.158 		
X5 	  9.47 		  1.10 		 0.156 		
X6 	  9.25 		  1.07 		 0.157 		
X7 	  9.16 		  1.07 		 0.169 		
X8 	  9.43 		  1.10 		 0.159 		
X9 	  9.56 		  1.06 		 0.159 		
X10 	  9.45 		  1.10 		 0.168 		
X11 	  9.62 		  1.15 		 0.162 		
X12 	  9.59 		  1.10 		 0.153 		
X13 	  9.55 		  1.07 		 0.142 		
X14 	  9.26 		  1.08 		 0.125 		
X15 	  9.45 		  1.14 		 0.099 		
Z1 	  9.05 		  1.08 		 0.092 		
Z2 	  9.15 		  1.04 		 0.117 		
Z3 	  9.17 		  1.07 		 0.129 		
Z4 	  9.54 		  1.57 		 0.150 		
Z5 	  9.30 		  1.07 		 0.147 		
Z6 	  9.44 		  1.07 		 0.151 		
Z7 	  9.16 		  1.03 		 0.145 		
Z8 	  9.13 		  1.01 		 0.152 		
Z9 	 10.51 		  1.27 		 0.159 		
Z10 	  9.20 		  1.06 		 0.156 		
Z11 	  9.08 		  1.03 		 0.142 		
Z12 	  9.39 		  1.08 		 0.143 		
Z13 	  9.03 		  1.05 		 0.128 		
Z14 	  8.82 		  1.04 		 0.113 		
Z15 	  9.16 		  1.07 		 0.089 		
