run	 6797
band	 E_min (MeV)	 E_max (MeV)	 rm_X (evt/s)	 sigma_X	 rm_Z (evt/s)	 sigma_Z
1	       0.17	       0.35	    101.228	      0.173	     53.484	      0.126
2	       0.35	       0.70	    168.782	      0.224	    196.276	      0.241
3	       0.70	       1.40	     84.680	      0.158	     77.384	      0.151
4	       1.40	       2.80	     19.862	      0.077	     14.456	      0.065
5	       2.80	       5.60	      1.540	      0.021	      1.463	      0.021
6	       5.60	      11.20	      1.126	      0.018	      1.507	      0.021
7	      11.20	      22.40	      0.729	      0.015	      0.718	      0.015
8	      22.40	      44.80	      0.194	      0.008	      0.200	      0.008
9	      44.80	      89.60	      0.041	      0.003	      0.037	      0.003
10	      89.60	    1433.60	      0.010	      0.002	      0.008	      0.002
