run 	6797
bar 	E_th 50% (MeV) 	E_th 90% (MeV)
X1 	 0.380 		 0.400
X2 	 0.320 		 0.360
X3 	 0.260 		 0.300
X4 	 0.360 		 0.380
X5 	 0.320 		 0.360
X6 	 0.340 		 0.360
X7 	 0.320 		 0.360
X8 	 0.300 		 0.340
X9 	 0.200 		 0.260
X10 	 0.300 		 0.340
X11 	 0.280 		 0.320
X12 	 0.320 		 0.360
X13 	 0.300 		 0.340
X14 	 0.320 		 0.340
X15 	 0.300 		 0.340
Z1 	 0.420 		 0.440
Z2 	 0.100 		 0.160
Z3 	 0.320 		 0.360
Z4 	 0.080 		 0.140
Z5 	 0.340 		 0.400
Z6 	 0.400 		 0.440
Z7 	 0.220 		 0.260
Z8 	 0.360 		 0.380
Z9 	 0.220 		 0.280
Z10 	 0.360 		 0.400
Z11 	 0.340 		 0.380
Z12 	 0.220 		 0.260
Z13 	 0.280 		 0.320
Z14 	 0.360 		 0.380
Z15 	 0.360 		 0.380
