# limiti dei canali E del detector per il spectral fitting con XSPEC
# twice the channels than Sci RM, same base 2 log footprint
# M. Marisaldi 20/2/08 
# file format: 
#
# ch_number      Elower    Eupper(Gev)
# BEGINS WITH 1
 
    1            0.000170   0.000240 
    2            0.000240   0.000350
    3            0.000350   0.000495
    4            0.000495   0.000700
    5            0.000700   0.000990 
    6            0.000990   0.001400
    7            0.001400   0.001980
    8            0.001980   0.002800
    9            0.002800   0.003960
   10            0.003960   0.005600 
   11            0.005600   0.007920
   12            0.007920   0.011200
   13            0.011200   0.015800
   14            0.015800   0.022400
   15            0.022400   0.044800 
   16            0.044800   0.089600 
   17            0.089600   1.433600 
    
