# limiti dei canali E del detector per il spectral fitting con XSPEC
# Konus-WIND energy bands, suitable for cross-calibration
# MonteCarlo energy bands by M. Galli, rebinned by a factor 2 between 345 keV and 1739 MeV
# M. Marisaldi 25/2/08 
# file format: 
#
# ch_number      Elower    Eupper(Gev)
# BEGINS WITH 1
 
 1   0.000173   0.000223
 2   0.000223   0.000277
 3   0.000277   0.000345
 4   0.000345   0.000389
 5   0.000389   0.000444
 6   0.000444   0.000499
 7   0.000499   0.000607
 8   0.000607   0.000714
 9   0.000714   0.000822
10   0.000822   0.000930
11   0.000930   0.001038
12   0.001038   0.001146
13   0.001146   0.001308
14   0.001308   0.001523
15   0.001523   0.001739
16   0.001739   0.002182
17   0.002182   0.002863
18   0.002863   0.003544
19   0.003544   0.004452
20   0.004452   0.005815
21   0.005815   0.007404
22   0.007404   0.009334
23   0.009334   0.011605
24   0.011605   0.013876
25   0.013876   0.016487
26   0.016487   0.020900
27   0.020900   0.027578
28   0.027578   0.036389
29   0.036389   0.048016
30   0.048016   0.063357
31   0.063357   0.083600
32   0.083600   0.472912
33   0.472912   1.433600
