# limiti dei canali E del detector per il spectral fitting con XSPEC
# Konus-WIND energy bands, suitable for cross-calibration
# MonteCarlo energy bands by M. Galli, rebinned by a factor 4
# M. Marisaldi 20/2/08 
# file format: 
#
# ch_number      Elower    Eupper(Gev)
# BEGINS WITH 1
 
 1   0.000173   0.000223
 2   0.000223   0.000277
 3   0.000277   0.000345
 4   0.000345   0.000444
 5   0.000444   0.000607
 6   0.000607   0.000822
 7   0.000822   0.001038
 8   0.001038   0.001308
 9   0.001308   0.001739
10   0.001739   0.002182
11   0.002182   0.002863
12   0.002863   0.003544
13   0.003544   0.004452
14   0.004452   0.005815
15   0.005815   0.007404
16   0.007404   0.009334
17   0.009334   0.011605
18   0.011605   0.013876
19   0.013876   0.016487
20   0.016487   0.020900
21   0.020900   0.027578
22   0.027578   0.036389
23   0.036389   0.048016
24   0.048016   0.063357
25   0.063357   0.083600
26   0.083600   0.472912
27   0.472912   1.433600
