# M. Marisaldi 25/9/08 
# MCAL energy channel limits for spectral fitting with XSPEC
# Konus-WIND energy bands, suitable for cross-calibration
# MonteCarlo energy bands by M. Galli
# rows 4-9: step KW spectrum 1    
# rows 10-68: step KW spectrum 2    
# rows 79-97: fine steps like MC simulations for Frascati calibration    
#
# file format: 
#
# ch_number      Elower    Eupper(Gev)
# BEGINS WITH 1
    
1  0.000173  0.000223
2  0.000223  0.000277
3  0.000277  0.000344539
4  0.000344539  0.000362613
5  0.000362613  0.000389725
6  0.000389725  0.000416836
7  0.000416836  0.000443947
8  0.000443947  0.000471058
9  0.000471058  0.00049817
10  0.00049817  0.000552706
11  0.000552706  0.000606629
12  0.000606629  0.000660551
13  0.000660551  0.000714474
14  0.000714474  0.000768396
15  0.000768396  0.000822319
16  0.000822319  0.000876241
17  0.000876241  0.000930164
18  0.000930164  0.000984086
19  0.000984086  0.001038009
20  0.001038009  0.001091932
21  0.001091932  0.001145854
22  0.001145854  0.001199777
23  0.001199777  0.001307622
24  0.001307622  0.001415467
25  0.001415467  0.001523312
26  0.001523312  0.001631157
27  0.001631157  0.001739002
28  0.001739002  0.001846847
29  0.001846847  0.001954692
30  0.001954692  0.002067977
31  0.002067977  0.002181516
32  0.002181516  0.002351825
33  0.002351825  0.002522134
34  0.002522134  0.002692443
35  0.002692443  0.002862752
36  0.002862752  0.003033061
37  0.003033061  0.00320337
38  0.00320337  0.003373679
39  0.003373679  0.003543988
40  0.003543988  0.003771066
41  0.003771066  0.003998145
42  0.003998145  0.004225224
43  0.004225224  0.004452302
44  0.004452302  0.00479292
45  0.00479292  0.005133538
46  0.005133538  0.005474156
47  0.005474156  0.005814774
48  0.005814774  0.006155392
49  0.006155392  0.00649601
50  0.00649601  0.006950167
51  0.006950167  0.007404324
52  0.007404324  0.007858482
53  0.007858482  0.008312639
54  0.008312639  0.008766796
55  0.008766796  0.009334493
56  0.009334493  0.009902189
57  0.009902189  0.01046989
58  0.01046989  0.01103758
59  0.01103758  0.01160528
60  0.01160528  0.01217298
61  0.01217298  0.01274067
62  0.01274067  0.01330837
63  0.01330837  0.01387607
64  0.01387607  0.01444376
65  0.01444376  0.015125
66  0.015125  0.01580623
67  0.01580623  0.01648747
68  0.01648747  0.01716871
69	0.01716871	0.01819450
70	0.01819450	0.01950030
71	0.01950030	0.02089990
72	0.02089990	0.02240000
73	0.02240000	0.02400770
74	0.02400770	0.02573080
75	0.02573080	0.02757760
76	0.02757760	0.02955700
77	0.02955700	0.03167840
78	0.03167840	0.03395210
79	0.03395210	0.03638890
80	0.03638890	0.03900070
81	0.03900070	0.04179990
82	0.04179990	0.04480000
83	0.04480000	0.04801550
84	0.04801550	0.05146170
85	0.05146170	0.05515530
86	0.05515530	0.05911400
87	0.05911400	0.06335680
88	0.06335680	0.06790410
89	0.06790410	0.07277780
90	0.07277780	0.07800130
91	0.07800130	0.08359980
92	0.08359980	0.08960000
93	0.08960000	0.15600300
94	0.15600300	0.27161600
95	0.27161600	0.47291200
96	0.47291200	0.82338700
97	0.82338700	1.43360000
